name,signal,registration,country,category,length,port,mmsi
O'SURRIENTO,,1191,Argentina,"RADA O RIA, FRESQUERO",13.65,,NA
OMEGA 3,,1391,Argentina,"COSTEROS, FRESQUERO",17.9,,NA
PACHACA,,2572,Argentina,"COSTEROS, FRESQUERO",17.64,,NA
PADRE PIO,,2822,Argentina,"COSTEROS, FRESQUERO",24,,NA
PAGRUS II,,1393,Argentina,"COSTEROS, FRESQUERO",17.9,,NA
PATAGONIA 1,,2163,Argentina,"ALTURA,PROC.CONGELADOR",51.9,,NA
POPA,,2384,Argentina,"COSTEROS, FRESQUERO",23.4,,NA
PORTO BELO II,,2790,Argentina,"COSTEROS, FRESQUERO",23.98,,NA
PRIMERA MARIA MADRE,,1500,Argentina,"RADA O RIA, FRESQUERO",12.91,,NA
QUE DIOS SE LO PAGUE,,647,Argentina,"RADA O RIA, FRESQUERO",13.73,,NA
QUE LE IMPORTA,,1355,Argentina,"COSTEROS, FRESQUERO",18.4,,NA
QUIQUETA,,1076,Argentina,"ALTURA, FRESQUERO",25.2,,NA
RAFFAELA,,1401,Argentina,"ALTURA, FRESQUERO",26.5,,NA
RAYO DE SOL,,690,Argentina,"COSTEROS, FRESQUERO",15.67,,NA
RAYO DEL MAR,,918,Argentina,"ALTURA, FRESQUERO",27.1,,NA
REGINA MADRE,,1659,Argentina,"RADA O RIA, FRESQUERO",13.76,,NA
ROCIO DEL MAR,,1568,Argentina,"ALTURA, FRESQUERO",22.6,,NA
RONDINE,,1600,Argentina,"RADA O RIA, FRESQUERO",12.95,,NA
ROSA MISTICA I,,1957,Argentina,"COSTEROS, FRESQUERO",16.65,,NA
RUMBO ESPERANZA,,1211,Argentina,"ALTURA, FRESQUERO",25,,NA
SAGRARIO,,2973,Argentina,"COSTEROS, FRESQUERO",19.94,,NA
SALVADOR R,,2755,Argentina,"COSTEROS, FRESQUERO",25.7,,NA
SAN ADRIAN,,777,Argentina,"RADA O RIA, FRESQUERO",14.4,,NA
SAN ANTONINO,,1078,Argentina,"RADA O RIA, FRESQUERO",16.2,,NA
SAN ANTONINO III,,438,Argentina,"ALTURA, FRESQUERO",23.82,,NA
