Nombre del buque 	Señal Distintiva 	Matrícula 	País 	Categoría (*) 	Eslora (m) 	Puerto
DESEADO 		01598 	Argentina 	COSTEROS, FRESQUERO 	19 	
DIEGO FERNANDO 		02416 	Argentina 	COSTEROS, FRESQUERO 	17.95 	
DOCK URANO 		01700 	Argentina 	COSTEROS, FRESQUERO 	17.02 	
DOCTOR JUAN JOSE TRAVERSONI 		030 	Argentina 	RADA O RIA, FRESQUERO 	12 	
DON AGUSTIN 		0968 	Argentina 	ALTURA, FRESQUERO 	25.6 	
DON ANTONIO 		029 	Argentina 	ALTURA, FRESQUERO 	27.8 	
DON BOCHA 		02921 	Argentina 	COSTEROS, FRESQUERO 	17.98 	
DON CARLOS I 		02358 	Argentina 	COSTEROS, FRESQUERO 	12.65 	
DON CARMELO 		01320 	Argentina 	COSTEROS, FRESQUERO 	19.04 	
DON CAYETANO 		0579 	Argentina 	ALTURA, FRESQUERO 	44.1 	
DON DARIO 		0976 	Argentina 	COSTEROS, FRESQUERO 	15.4 	
DON DOMINGO 		0319 	Argentina 	RADA O RIA, FRESQUERO 	18.2 	
DON ESCIPION 		02322 	Argentina 	COSTEROS, FRESQUERO 	23.6 	
DON FRANCISCO I 		02562 	Argentina 	ALTURA,PROC.CONGELADOR 	66.55 	
DON FRANCO 		02955 	Argentina 	COSTEROS, FRESQUERO 	19.94 	
DON GAETANO 		071 	Argentina 	ALTURA, FRESQUERO 	32.1 	
DON GIULIANO 		02025 	Argentina 	COSTEROS, FRESQUERO 	17.1 	
DON JOSE 		0892 	Argentina 	COSTEROS, FRESQUERO 	16.49 	
DON JOSE DI BONA 		02241 	Argentina 	COSTEROS, FRESQUERO 	19.85 	
DON JUAN D'AMBRA 		01884 	Argentina 	ALTURA, FRESQUERO 	58.75 	
DON JUAN. 		01397 	Argentina 	ALTURA, FRESQUERO 	27 	
DON LUCIANO 		069 	Argentina 	ALTURA, FRESQUERO 	48.62 	
DON LUIS I 		02093 	Argentina 	ALTURA,PROC.CONGELADOR 	67.95 	
DON MARIO 		01400 	Argentina 	RADA O RIA, FRESQUERO 	16.5 	
DON MIGUEL I 		0748 	Argentina 	ALTURA, FRESQUERO 	26.6 	
DON NATALIO 		01183 	Argentina 	ALTURA, FRESQUERO 	36 	
DON NICOLA 		0893 	Argentina 	ALTURA, FRESQUERO 	28.14 	
DON NINO 		0923 	Argentina 	RADA O RIA, FRESQUERO 	15 	
